source,BOCnt,CCCnt
Estrella del Mar AB Marine conservation,1,1
Estrella del Mar Aquatic Sp Distribution,4,1
Estrella del Mar BV,6,1
Estrella del Mar Ferry AB Marine conservation,2,1
Estrella del Mar Ges.m.b.H.,3,3
Estrella del Mar Ges.m.b.H. Merchants,3,1
Estrella del Mar GmbH,1,0
Estrella del Mar Ltd,8,2
Estrella del Mar Ltd. Corporation,1,1
Estrella del Mar Marine ecology,3,1
Estrella del Mar Oyj Holdings,12,1
Estrella del Mar Pic,6,1
Estrella del Mar S.p.A.,3,1
Estrella del Mar Tilapia Oyj Marine,1,1
Estrella del Mar ОАО Overseas,12,1
Estrella del Sol AB,1,2
Estrella del Sol Family,1,1
Estrella del Sol Limited Liability Company,18,1
Estrella del Sol N.V.,6,1
Ethiopian Highlands  Inc Marine biology,1,1
Ethiopian Highlands  Kga Services,3,1
Ethiopian Highlands  Limited Liability Company Sea spray,2,1
Ethiopian Highlands  Ltd. Liability Co,2,1
Ethiopian Highlands  Pic Line,1,1
Eudora Co and Son's,22,1
Eudora GmbH & Co. KG,1,1
Eudora GmbH & Co. KG Brothers,2,1
Eudora Hijiki SE & Son's,1,1
Eudora Ltd. Liability Co,1,1
Evans Inc,1,0
Evans LLC,4,0
Evans Ltd,3,2
Evans PLC,1,0
Evans and Sons,2,2
"Evans, Barker and Howard",1,0
"Evans, Curtis and Ramos",1,0
"Evans, Davidson and Calderon",1,0
"Evans, Diaz and Martin",1,0
"Evans, Kelley and Hayes",1,0
"Evans, Robertson and Faulkner",1,0
"Evans, Zuniga and Lane",1,0
Evans-Chandler,1,0
Evans-Hines,1,0
Evans-Wilson,1,0
"Ewing, Roberts and Jimenez",1,0
Express Limited Liability Company,1,1
Fan er  Beach S.p.A. Services,2,1
Fan er  Corp Shipping,1,1
Farley Ltd,1,0
Farley-Coleman,1,0
Farley-Crawford,1,0
Farmer Inc,1,0
Farmer and Sons,1,0
"Farmer, Smith and Gonzalez",1,0
Faroe Islands  Co Logistics,2,1
Faroe Islands  Company World,16,0
Faroe Islands  Ltd Express,1,1
Faroe Islands Crab Marine sanctuary,18,1
Faroe Islands Crab NV,2,1
Faroe Islands Halibut Corporation Services,2,1
Faroe Islands Halibut Import,2,1
Faroe Islands Halibut International,2,1
Faroe Islands Halibut Sea S.p.A. Distribution,1,1
Faroe Islands Shrimp AB,3,1
Faroe Islands Shrimp Barge AS Cargo,1,1
Faroe Islands Shrimp GmbH & Co. KG Express,2,1
Faroe Islands Shrimp Inc Shipping,8,1
Faroe Islands Shrimp Oyj Import,2,1
"Farrell, Huber and Shaw",1,0
"Farrell, Miller and Baxter",1,0
"Farrell, Owens and Gordon",1,0
Faulkner-Henry,1,0
Ferguson PLC,2,0
Ferguson and Sons,1,1
"Ferguson, Bennett and Barnett",1,0
Ferguson-Berry,1,0
Ferguson-Ingram,1,0
Ferguson-Johnson,1,0
Ferguson-Turner,1,0
Ferguson-Wright,1,0
Ferguson-Young,1,0
Fernandez Group,1,0
Fernandez Ltd,1,1
Fernandez and Sons,1,0
"Fernandez, Bradley and Dawson",1,0
"Fernandez, Miller and Reed",1,0
"Fernandez, Torres and Jones",1,0
Fernandez-Davis,1,0
Fernandez-Simmons,1,0
Fernandez-Torres,1,0
Fernandez-Walker,1,0
Ferrell-Brown,1,0
Fields Group,1,0
Fields Inc,2,0
Fields Ltd,1,0
Fields and Sons,1,0
Fields-Barajas,1,0
Fields-Cannon,1,0
Fields-Chapman,1,0
Figueroa and Sons,1,1
Figueroa-Perez,1,0
Fin Addiction SE Express,2,1
Fin Flair AG Marine,2,1
Fin Flair GmbH Marine,2,1
Fin Flair Inc Transport,3,1
FinAddict GmbH & Co. KG,22,1
FinAddict Ltd. Corporation Delivery,1,1
FinFresh Salmon AS Distribution,2,1
Finest GmbH & Co. KG,1,1
FinestCatch Ltd. Liability Co,4,1
FinestCatch Pic Tom yum,2,1
FinestCatch Surf Company Solutions,2,1
FinestTaste Ltd. Liability Co,3,1
FinestTastes Ltd. Liability Co,1,1
FinestTastes Regatta Limited Liability Company Consulting,6,0
Finests  S.A. de C.V.,4,1
"Finley, Padilla and Rosales",1,0
"Finley, Romero and Cowan",1,0
"Finley, York and Payne",1,0
Fischer LLC,1,0
Fischer-Edwards,1,0
Fischer-Hernandez,1,0
Fischer-Villarreal,1,0
Fisher Inc,4,0
Fisher LLC,2,1
Fisher Ltd Marine sanctuary,1,1
Fisher Marine conservation CJSC Transportation,26,1
Fisher S.A. de C.V.,6,1
"Fisher, Chang and Logan",1,0
"Fisher, Crawford and Rodriguez",1,0
"Fisher, Farley and Baker",1,0
"Fisher, Jones and Banks",1,0
"Fisher, Quinn and Gardner",1,0
"Fisher, Wells and Evans",1,0
"Fisher, Wolfe and Powell",1,0
Fisher-Clarke,1,0
Fisher-Fisher,1,0
Fisherman's Best LC Express,3,1
Fisherman's Best Ltd. Liability Co Consulting,3,1
Fisherman's Bounty N.V. Family,4,1
Fisherman's Bounty Pic Transport,1,1
Fisherman's Bounty S.p.A. Import,1,1
Fisherman's Bounty Sagl Industrial,1,1
Fisherman's Pride - AS International,2,1
Fisherman's Pride AS Export,2,0
Fitzgerald LLC,1,0
Fitzgerald and Sons,1,1
"Fitzgerald, Cole and Taylor",1,0
Fitzgerald-Allen,1,0
Fitzgerald-Bates,1,0
Fitzgerald-Griffin,1,0
Fitzgerald-Hernandez,1,0
Fitzgerald-Martin,1,0
Fitzpatrick Group,1,0
"Fitzpatrick, Morgan and Williams",1,0
"Fitzpatrick, Smith and Myers",1,0
Fitzpatrick-Gordon,1,0
Fleming Ltd,1,0
"Fleming, Brown and Peterson",1,0
"Fleming, Flores and Chavez",1,0
"Fleming, Jones and Gallegos",1,0
"Fleming, Snyder and Crawford",1,0
Fleming-Mcgee,1,0
Fletcher Group,1,0
"Fletcher, Estes and Kelley",1,0
"Fletcher, Miller and Bender",1,0
Fletcher-Flores,1,0
Fletcher-Foster,1,0
Fletcher-Gomez,1,0
Flint Ltd. Liability Co &,2,1
Flint Seagull OJSC Holdings,10,1
Flores Group,1,0
Flores Inc,1,0
Flores Ltd,2,0
Flores PLC,1,0
Flores and Sons,4,1
"Flores, Bradley and Rubio",1,0
"Flores, Goodwin and Hernandez",1,0
"Flores, Lopez and Harrison",1,0
"Flores, Mason and Vargas",1,0
"Flores, Smith and Dougherty",1,0
"Flores, Vaughn and Cooper",1,0
"Flores, Zhang and Oconnor",1,0
Flores-Liu,1,0
"Flowers, Hunter and Hendricks",1,0
"Flowers, Jenkins and Johnson",1,0
"Flowers, Valenzuela and Sullivan",1,0
Flowers-Evans,1,0
Floyd PLC,1,0
"Floyd, Wong and Gallagher",1,0
Floyd-Mcdowell,1,0
Floyd-Olson,1,0
Flynn Inc,1,0
Flynn Ltd,1,0
Flynn-Miller,1,0
"Foley, Lam and Fernandez",1,0
Foley-James,1,0
Forbes Inc,1,0
"Forbes, Conway and Neal",1,0
"Forbes, Freeman and Adams",1,0
"Forbes, Holden and Bennett",1,0
Forbes-Miller,1,0
Ford LLC,1,0
Ford and Sons,1,0
"Ford, Day and Peters",1,0
"Ford, Maynard and Ellis",1,0
"Ford, Morris and Martin",1,0
"Ford, Phillips and Li",1,0
"Ford, Smith and Skinner",1,0
"Ford, Sullivan and Graham",1,0
"Ford, Summers and May",1,0
Forwading S.A. de C.V.,6,1
Foster LLC,3,1
Foster Ltd,1,1
Foster and Sons,1,0
"Foster, Caldwell and Carlson",1,0
"Foster, Davis and George",1,0
"Foster, Haynes and Hall",1,0
"Foster, Mercado and Brooks",1,0
"Foster, Richardson and Cook",1,0
"Foster, Rowe and Sexton",1,0
"Foster, Savage and Santiago",1,0
Foster-Berry,1,0
Fowler PLC,1,0
"Fowler, Alvarez and Rich",1,0
"Fowler, Burgess and Jacobs",1,0
"Fowler, Lawrence and Howard",1,0
"Fowler, Massey and Estes",1,0
Fowler-Davis,1,0
Fox Group,1,0
Fox LLC,1,0
Fox Ltd,2,1
"Fox, Davis and Pearson",1,0
"Fox, Dawson and York",1,0
"Fox, Greer and Hernandez",1,0
"Fox, Payne and Jones",1,0
"Fox, Steele and Evans",1,0
Fox-Miller,1,0
Fox-Shelton,1,0
Fox-Smith,1,0
Francis Inc,1,0
Francis Ltd,1,0
"Francis, Garcia and Juarez",1,0
Francis-Calderon,1,0
Francis-Robinson,1,0
Franco Ltd,1,0
Franco PLC,1,0
"Franco, Banks and Washington",1,0
"Franco, Harper and Ward",1,0
"Franco, Johnson and Soto",1,0
Frank Group,1,0
Frank Ltd,1,0
Frank PLC,1,0
Frank-Garza,1,0
Franklin Group,1,0
Franklin PLC,2,0
"Franklin, Robinson and Hill",1,0
Franklin-Gardner,1,0
Franklin-Gibbs,1,0
Frazier Group,1,1
"Frazier, Bradley and Long",1,0
"Frazier, Schmidt and Newton",1,0
Frederick LLC,1,0
"Frederick, Pierce and Horn",1,0
Freeman LLC,1,0
Freeman PLC,1,1
"Freeman, Morales and Horn",1,0
"Freeman, Wade and Davis",1,0
Freeman-Lowe,1,0
Freeman-Williams,1,0
French  Wave ОАО Worldwide,2,1
French Crab Kga Overseas,6,1
French Crab Pic Marine conservation,4,1
French Crab Plc Carriers,18,1
French LLC,1,0
French Ltd,1,0
French Sardine Consultants Krill,1,1
French Sardine Dry dock S.A. de C.V. Delivery,1,1
French Sardine LLC Transit,2,1
French Sardine NV Cargo,2,1
French Sole AB Lighthouse,1,1
"French, Castillo and Williams",1,0
"French, Pratt and Newman",1,0
French-Young,1,0
Fresh  Limited Liability Company,2,1
Fresh  Ltd. Liability Co,1,1
Fresh  Wakame LC Marine sanctuary,1,1
Fresh Cargo  AB Holdings,4,1
Fresh Ltd. Liability Co,3,2
Fresh Seabreeze Corp Services,1,1
Frey Inc,1,0
Frey-Frazier,1,0
Frey-Jacobson,1,0
"Friedman, Cook and Smith",1,0
"Friedman, Gay and Mcdowell",1,0
Friedman-Kennedy,1,0
Fritz Group,1,0
"Fritz, Torres and Peters",1,0
Frost Ltd,1,0
"Frost, Kim and Norris",1,0
"Frost, Stephens and Scott",1,0
Frost-Mccann,1,0
"Fry, Buchanan and Ward",1,0
"Fry, Hawkins and Williams",1,0
Fry-Bailey,1,0
Fry-Wagner,1,0
Frye Inc,1,0
Frye Ltd,1,0
"Frye, Hill and Wilson",1,0
Frye-Cox,1,0
Frye-Flores,1,0
Frye-Lyons,1,0
Fuentes Inc,1,1
"Fuentes, Smith and Fisher",1,0
"Fuentes, Watkins and Ray",1,0
Fuller LLC,1,0
Fuller Ltd,1,1
"Fuller, Green and Gonzalez",1,0
"Fuller, Miller and Delgado",1,0
"Fuller, Morales and Williams",1,0
Fuller-Barnett,1,0
Fuller-Brooks,1,0
Fuller-Kim,1,0
Fuller-Roberts,1,0
Gaines Inc,1,0
Gaines LLC,1,0
Galene Cargo  GmbH Cargo,2,1
Galene Leska Kga Investment,3,1
Galene S.A. de C.V. Marine ecology,2,1
Gallagher Group,1,0
"Gallagher, Keller and Gonzalez",1,0
"Gallagher, Marquez and Smith",1,0
"Gallagher, Mcgee and Dixon",1,0
"Gallagher, Mercer and Gregory",1,0
"Gallagher, Pennington and Andrade",1,0
"Gallagher, Webb and Zimmerman",1,0
"Gallegos, Raymond and Ramsey",1,0
Galloway Ltd,1,0
Galloway-Ray,1,0
Galvan-Martinez,1,0
Galvan-Young,1,0
Gambia River   AG Import,2,1
Gambia River   Co Marine sanctuary,1,1
Gamble Group,1,0
Garcia Group,4,2
Garcia Inc,2,1
Garcia LLC,2,2
Garcia Ltd,5,4
Garcia and Sons,3,1
"Garcia, Acosta and Patel",1,0
"Garcia, Ayala and Reese",1,0
"Garcia, Cook and Jones",1,0
"Garcia, Dennis and Thornton",1,0
"Garcia, Dillon and Davis",1,0
"Garcia, Edwards and Oliver",1,0
"Garcia, Ferguson and Miller",1,0
"Garcia, Fuller and Berger",1,0
"Garcia, Johnson and Stewart",1,0
"Garcia, Kim and Lowe",1,0
"Garcia, Koch and Garcia",1,0
"Garcia, Lewis and Hoffman",1,0
"Garcia, Marshall and Diaz",1,0
"Garcia, Nelson and Miranda",1,0
"Garcia, Scott and Ortiz",1,0
"Garcia, Smith and Scott",1,0
"Garcia, Smith and Walker",1,0
"Garcia, Sullivan and Ortiz",1,0
"Garcia, Ward and Harvey",1,0
"Garcia, Whitney and Thompson",1,0
"Garcia, Wilson and Wright",1,0
"Garcia, Wood and Phillips",1,0
"Garcia, Wright and Ramos",1,0
Garcia-Campbell,1,0
Garcia-Carpenter,1,0
Garcia-Daniels,1,0
Garcia-Donovan,1,0
Garcia-Green,1,0
Garcia-Hernandez,1,0
Garcia-Huff,1,0
Garcia-Hughes,1,0
Garcia-Jones,1,0
Garcia-Knight,1,0
Garcia-Miller,1,0
Garcia-Porter,1,0
Garcia-Reed,1,0
Garcia-Rodriguez,1,0
Garcia-Walters,1,0
Garcia-Williams,1,0
Gardner Inc,1,0
Gardner LLC,1,1
Gardner Ltd,2,0
Gardner PLC,1,0
"Gardner, Bradley and Stanley",1,0
"Gardner, Fisher and Roberson",1,0
"Gardner, Holland and Parker",1,0
"Gardner, Johnson and Schneider",1,0
Gardner-Chavez,1,0
Gardner-Smith,1,0
Gardner-Torres,1,0
Gardner-Woods,1,0
"Garner, Jackson and Stone",1,0
"Garner, Klein and Cantrell",1,0
Garner-Conley,1,0
"Garrett, Hernandez and Jennings",1,0
Garrett-Bentley,1,0
Garrett-Moore,1,0
Garrett-Smith,1,0
"Garrison, Reeves and Henson",1,0
"Garrison, Richmond and Johnson",1,0
"Garrison, Schroeder and Christensen",1,0
Garrison-Guzman,1,0
Garza Group,1,1
Garza PLC,1,0
Garza and Sons,1,0
Garza-Montgomery,1,0
Garza-Nixon,1,0
Garza-Phillips,1,0
Gates LLC,1,0
Gates-Reed,1,0
Gentry PLC,1,0
George Group,1,0
George Marine mist Sagl Delivery,3,1
"George, Castro and Thomas",1,0
"George, Dawson and Montoya",1,0
"George, Glass and Jacobs",1,0
"George, Johnson and Cherry",1,0
"George, Simmons and Thomas",1,0
George-Davis,1,0
George-Hamilton,1,0
George-Lawson,1,0
George-Ortega,1,0
George-Parker,1,0
Gibbs Inc,1,0
Gibbs LLC,1,0
Gibbs-Potter,1,0
Gibbs-Roberts,1,0
Gibson Inc,1,0
Gibson PLC,1,1
"Gibson, Baldwin and Mueller",1,0
"Gibson, Morse and Stewart",1,0
"Gibson, Ortiz and Oliver",1,0
"Gibson, Rivera and Robinson",1,0
Gibson-Edwards,1,0
Gilbert PLC,1,0
"Gilbert, Conley and Nelson",1,0
"Gilbert, Martinez and Wilson",1,0
Gilbert-Dixon,1,0
Gilbert-Kim,1,0
Giles-English,1,0
Gill Inc,1,0
"Gill, Gomez and Tucker",1,0
"Gill, Harrington and Fitzgerald",1,0
Gillespie Ltd,1,0
Gillespie PLC,1,0
Gillespie-Anderson,1,0
Gilmore Group,1,0
Gilmore PLC,2,0
"Glass, Roberts and Gibson",1,0
Glass-Turner,1,0
"Glenn, Collins and Zavala",1,0
Glenn-Smith,1,0
Glover Group,1,0
Glover-Nguyen,1,0
Goa   Ltd. Liability Co,1,1
Golden Group,1,0
"Golden, Lee and Booker",1,0
Gomez Group,1,0
Gomez LLC,2,2
Gomez Ltd,1,1
Gomez and Sons,2,0
"Gomez, Gilmore and Thornton",1,0
"Gomez, Lopez and Kelly",1,0
"Gomez, Parker and Bryan",1,0
"Gomez, Perez and Curry",1,0
"Gomez, Singh and Lyons",1,0
"Gomez, Wu and Moran",1,0
Gomez-Brown,1,0
Gomez-Downs,1,0
Gomez-Dunn,1,0
Gomez-Hamilton,1,0
Gomez-Nelson,1,0
Gomez-Owens,1,0
Gomez-Padilla,1,0
Gomez-Powell,1,0
Gomez-Richardson,1,0
Gomez-Sanchez,1,0
Gomez-Schwartz,1,0
Gomez-Watson,1,0
Gomez-Wheeler,1,0
Gonzales Inc,1,0
Gonzales and Sons,2,1
"Gonzales, Graves and Robinson",1,0
"Gonzales, Smith and Wong",1,0
Gonzales-Baker,1,0
Gonzales-Medina,1,0
Gonzales-Ortega,1,0
Gonzales-Washington,1,0
Gonzales-Weber,1,0
Gonzalez Group,2,1
Gonzalez Inc,1,0
Gonzalez LLC,3,2
Gonzalez Ltd,3,0
Gonzalez and Sons,1,1
"Gonzalez, Curtis and Banks",1,0
"Gonzalez, Howard and Hall",1,0
"Gonzalez, Klein and Medina",1,0
"Gonzalez, Morgan and Jimenez",1,0
"Gonzalez, Parker and Hill",1,0
"Gonzalez, Swanson and Velasquez",1,0
"Gonzalez, Ward and Hanna",1,0
Gonzalez-Adams,1,0
Gonzalez-Alvarez,1,0
Gonzalez-Benson,1,0
Gonzalez-Castaneda,1,0
Gonzalez-Erickson,1,0
Gonzalez-Garcia,1,0
Gonzalez-Green,1,0
Gonzalez-Gregory,1,0
Gonzalez-Haynes,1,0
Gonzalez-Higgins,1,0
Gonzalez-Jennings,1,0
Gonzalez-Kelly,1,0
Gonzalez-Moore,1,0
Gonzalez-Parker,1,0
Gonzalez-Reed,1,0
Gonzalez-Rivera,1,0
Gonzalez-Romero,1,0
Gonzalez-Schmidt,1,0
Gonzalez-Thomas,1,0
"Good, Knox and Chandler",1,0
Goodman Inc,1,1
Goodman LLC,1,0
"Goodman, Byrd and Mills",1,0
"Goodman, David and Richards",1,0
"Goodman, Wheeler and Williams",1,0
Goodman-Hernandez,1,0
Goodman-Walker,1,0
Goodwin Group,1,1
"Goodwin, Bailey and Hernandez",1,0
"Goodwin, Reed and Smith",1,0
Goodwin-Flynn,1,0
Goodwin-Gray,1,0
"Gordon, Park and Kidd",1,0
"Gordon, Turner and Dudley",1,0
Gordon-Contreras,1,0
Gordon-Davis,1,0
Gordon-Rocha,1,0
Gordon-Woods,1,0
Gould Inc,1,0
Gould PLC,1,0
Gould-Boyd,1,0
Gould-Hicks,1,0
Graham Inc,2,1
Graham Ltd,1,0
Graham PLC,2,0
"Graham, Horton and Moreno",1,0
"Graham, Roberts and Cummings",1,0
"Graham, Ward and Schmidt",1,0
Graham-Allen,1,0
Graham-Peterson,1,0
Graham-Price,1,0
Graham-Williams,1,0
Graham-Wilson,1,0
Grant Ltd,1,0
"Grant, Williams and Martinez",1,0
Grant-Kim,1,0
Grant-Rosario,1,0
Grant-Tran,1,0
Graves Inc,1,0
Graves LLC,1,0
Graves and Sons,1,0
"Graves, Carpenter and Rodriguez",1,0
"Graves, Molina and Jordan",1,0
"Graves, Warren and Tanner",1,0
Graves-Curtis,1,0
Gray Inc,1,0
Gray PLC,1,1
Gray and Sons,1,1
"Gray, Carlson and Gordon",1,0
"Gray, Goodwin and Carlson",1,0
"Gray, Johnson and Webb",1,0
"Gray, Perez and Potter",1,0
"Gray, Romero and Dean",1,0
"Gray, Smith and Johnson",1,0
Gray-Edwards,1,0
Gray-Howard,1,0
Gray-Lewis,1,0
Gray-Oconnor,1,0
Gray-Oliver,1,0
Gray-Phillips,1,0
Gray-Ross,1,0
Gray-Wade,1,0
Gray-Watson,1,0
Great Ruaha River  Cargo Oyster,2,1
Great Ruaha River  Kga,34,1
Great Ruaha River  Krill,2,1
Great Ruaha River  Oceanfront,1,1
Greek Mackerel Cargo Dredge,14,1
Greek Octopus Company Distribution,4,1
Greek Octopus Limited Liability Company,2,2
Greek Octopus Ltd Marine life,4,1
Greek Sea Bass SRL,3,1
Greek Sea Bream BV,1,1
Greek Sea Bream Krill,4,1
Greek Sea Bream Plc,2,1
Greek Sea Bream and,3,1
Greek Sea Bream ОАО United,1,1
Greek ermen AB Transit,2,1
Greek ermen Roe CJSC Cargo,1,1
Greek ermen SE Solutions,1,1
Greek ermen Tugboat Oyj Express,11,1
Green Group,2,0
Green LLC,2,1
Green Ltd,3,0
Green PLC,1,1
Green Valley & SRL & Son's,2,1
Green Valley Fish  Limited Liability Company Delivery,3,1
Green Valley GmbH Marine conservation,2,1
Green Valley LLC Carriers,1,1
Green Valley Marine biology Kelp,4,1
Green Valley NV Starfish,2,1
Green Valley Sp Current,5,1
Green and Sons,2,3
"Green, Ayers and Wise",1,0
"Green, Blake and Everett",1,0
"Green, Campbell and Gibbs",1,0
"Green, Jordan and Young",1,0
"Green, Maxwell and Walker",1,0
"Green, Mcbride and Floyd",1,0
"Green, Miller and Chang",1,0
"Green, Mills and Owens",1,0
Green-Bailey,1,0
Green-Fernandez,1,0
Green-Harper,1,0
Green-Hogan,1,0
Green-Horne,1,0
Green-Jackson,1,0
Green-Little,1,0
Green-Oneal,1,0
Green-Reese,1,0
Green-Smith,1,0
Greene Ltd,1,1
Greene PLC,1,1
"Greene, Sullivan and Mitchell",1,0
"Greene, Williams and Davis",1,0
Greene-Holmes,1,0
Greene-Nguyen,1,0
Greene-Wilson,1,0
Greene-Yoder,1,0
Greer and Sons,1,0
"Greer, Bennett and Lawrence",1,0
"Greer, Diaz and Caldwell",1,0
Greer-Beck,1,0
Gregory LLC,1,0
"Gregory, Hill and Robinson",1,0
"Gregory, Riley and Rogers",1,0
Gregory-Jenkins,1,0
Gregory-Taylor,1,0
Griffin Group,1,0
Griffin LLC,1,0
Griffin and Sons,1,0
"Griffin, Allen and Wilson",1,0
"Griffin, Fields and Myers",1,0
"Griffin, Garcia and Henry",1,0
"Griffin, Long and Scott",1,0
"Griffin, Love and Walls",1,0
Griffin-Morrison,1,0
Griffin-Perry,1,0
Griffin-Torres,1,0
Griffith Group,1,0
Griffith Inc,1,0
"Griffith, Oconnell and Wilson",1,0
"Griffith, Parker and Long",1,0
"Griffith, Randolph and Johnson",1,0
Griffith-Leon,1,0
Grimes Ltd,1,0
"Grimes, Mcbride and Davis",1,0
Gross and Sons,1,1
"Gross, Bridges and Simmons",1,0
"Gross, Robinson and Daniels",1,0
Gross-Barnes,1,0
Group Barge Ltd Logistics,2,1
Group Marine LC Shipping,2,1
Group S.A. de C.V.,11,2
Group Tugboat Pic Logistics,1,1
Group and Son's Dry dock,1,0
Guerrero LLC,1,1
Guerrero Ltd,1,0
"Guerrero, Armstrong and Carroll",1,0
"Guerrero, Williams and Warner",1,0
Guerrero-Lee,1,0
Guinea Gulf  Navigation AG Industrial,1,1
Gujarat   Tide NV Solutions,6,0
Gujarat  Dashi GmbH Family,2,1
Gujarat  Limited Liability Company Logistics,9,1
Gujarat  Sashimi OJSC Express,1,1
Gujarat Sea  Plc United,1,1
Gujarat ers Co Consulting,2,1
Gujarat ers Express Pier,2,1
Gujarat ers Ges.m.b.H. Shipping,2,1
Gujarat ers Limited Liability Company,4,3
Gulf of Guinea   & Son's,14,1
Gulf of Guinea   Ges.m.b.H.,5,2
Gulf of Guinea   S.A. de C.V.,1,1
Gulf of Guinea   S.A. de C.V. Marine biology,3,1
Gulf of Guinea   Sagl Transportation,10,1
Gulf of Guinea   ОАО Holdings,6,1
Gulf of Tadjoura  Aqua,2,1
Gulf of Tadjoura  Company,2,2
Gulf of Tadjoura  Inc,1,1
Gulf of Tadjoura  Ltd. Liability Co Logistics,3,1
Gutierrez Group,1,0
Gutierrez Inc,1,2
Gutierrez LLC,1,0
Gutierrez Ltd,1,0
Gutierrez and Sons,1,1
"Gutierrez, Gill and Wilson",1,0
"Gutierrez, Johnson and Smith",1,0
"Gutierrez, Larson and Escobar",1,0
"Gutierrez, Lucas and Davis",1,0
Gutierrez-Madden,1,0
Gutierrez-Mason,1,0
Gutierrez-Rodriguez,1,0
Gutierrez-White,1,0
Guzman Inc,2,0
"Guzman, Fuller and Hayes",1,0
"Guzman, Jones and Bradley",1,0
"Guzman, Jones and Mitchell",1,0
Guzman-Chang,1,0
Guzman-Gonzalez,1,0
Guzman-Hardy,1,0
Guzman-Hill,1,0
Guzman-Simpson,1,0
Gvardeysk Cargo  SRL Investment,2,1
Gvardeysk S.A. de C.V. Forwading,1,1
Gvardeysk Sextant ОАО Cargo,2,1
Gvardeysk Submarine S.p.A. Transport,3,1
Gvardeysk Tidepool AB Solutions,1,1
Haas PLC,1,0
Haas and Sons,1,0
Haas-Adams,1,0
Haas-Bradford,1,0
Haas-Dixon,1,0
Haas-Harrington,1,0
Hahn LLC,1,0
Hahn PLC,1,1
Hahn-Jones,1,0
Hale Group,1,0
Hale Inc,1,0
"Hale, Carrillo and Thomas",1,0
"Hale, Sims and Brandt",1,0
"Hale, Wood and Potter",1,0
Hale-Hayes,1,0
Hale-Mcclure,1,0
Hale-Meza,1,0
Hale-Rasmussen,1,0
Hale-Stevenson,1,0
Haley and Sons,1,0
"Haley, Mills and Jacobs",1,0
Haley-Robinson,1,0
Haley-Smith,1,0
Halie Seafoam N.V. Transit,1,1
Hall Group,2,2
Hall Ltd,4,0
Hall PLC,2,0
Hall and Sons,1,1
"Hall, Bradley and Williams",1,0
"Hall, Conley and Curry",1,0
"Hall, Garner and Houston",1,0
"Hall, Murphy and Castro",1,0
"Hall, Santos and Yoder",1,0
"Hall, Todd and Reynolds",1,0
"Hall, Williams and Ryan",1,0
Hall-French,1,0
Hall-Glover,1,0
Hall-Lambert,1,0
Hall-Mason,1,0
Hall-Reeves,1,0
Hall-Rogers,1,0
Hall-Stanley,1,0
Hall-Taylor,1,0
Hamilton Group,2,0
Hamilton LLC,1,0
"Hamilton, Green and Stuart",1,0
"Hamilton, Harris and Patterson",1,0
"Hamilton, Moran and Patton",1,0
"Hamilton, Nichols and Salazar",1,0
"Hamilton, Pierce and Gonzalez",1,0
"Hamilton, Taylor and Henry",1,0
Hamilton-Wagner,1,0
Hammond and Sons,2,0
"Hammond, Oliver and Conner",1,0
"Hammond, White and Ross",1,0
Hammond-Garza,1,0
Hammond-Rodriguez,1,0
Hampton Group,1,0
"Hampton, Bell and Moore",1,0
Hampton-Benson,1,0
Hancock Inc,1,1
Hancock LLC,1,0
Hancock-Winters,1,0
Haney-Gray,1,0
Hanna Group,1,0
"Hanna, Perez and Garcia",1,0
Hansen Group,1,0
Hansen Ltd,1,1
Hansen and Sons,1,1
"Hansen, Bennett and Duncan",1,0
"Hansen, Crawford and Bell",1,0
"Hansen, Hernandez and Stewart",1,0
"Hansen, Perez and Carter",1,0
"Hansen, Thomas and Duke",1,0
Hansen-Rodriguez,1,0
Hansen-Willis,1,0
Hanson Inc,1,0
Hanson PLC,1,0
"Hanson, Freeman and Allison",1,0
"Hanson, Gonzales and Johnson",1,0
"Hanson, Nolan and James",1,0
Hanson-Boyle,1,0
Hanson-Brown,1,0
Hanson-Shaw,1,0
Harbah Limited Liability Company,2,1
Harbah Ltd. Liability Co Brothers,1,1
Harbah Motorboat AG Shipping,3,1
Harbah Oyj Marine ecology,2,1
Harbah River AG United,3,1
"Hardin, Burton and Hale",1,0
"Hardin, Turner and Perez",1,0
Harding Inc,1,0
"Harding, Duncan and Wiggins",1,0
"Harding, Padilla and Ortega",1,0
"Harding, Rodgers and Arnold",1,0
"Harding, West and Cook",1,0
Hardy Inc,1,0
Hardy LLC,1,0
"Hardy, Chung and Gallagher",1,0
"Hardy, Michael and Harris",1,0
Hardy-Berger,1,0
Hardy-Hernandez,1,0
Hardy-Matthews,1,0
Hardy-Morgan,1,0
Hardy-Riley,1,0
Hardy-Rivas,1,0
Hardy-Yu,1,0
"Harmon, Dennis and Moore",1,0
"Harmon, Wilkerson and Bennett",1,0
Harmon-Hart,1,0
Harmon-Logan,1,0
Harmon-Rodriguez,1,0
Harmon-Ward,1,0
Harper LLC,2,1
Harper PLC,2,0
"Harper, Cruz and Bailey",1,0
"Harper, Jones and Harris",1,0
"Harper, Yates and Ramos",1,0
Harper-Gregory,1,0
Harper-Smith,1,0
Harper-Turner,1,0
Harrell PLC,1,0
"Harrell, Lee and Tanner",1,0
"Harrell, Moore and Simpson",1,0
"Harrell, Richardson and Pearson",1,0
Harrington Group,1,0
Harrington LLC,1,0
Harrington Ltd,1,0
"Harrington, Holder and Turner",1,0
